,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,706 N Adams St,Nevada,MO,64772,54900,2.0,1.0,1037.0,,1900.0,,http://www.redfin.com/MO/Nevada/706-N-Adams-St-64772/home/79942758,37.8447159,-94.3599828
1,Single Family Residential,501 E Vernon St,Nevada,MO,64772,49900,3.0,1.0,1170.0,,1900.0,,http://www.redfin.com/MO/Nevada/501-E-Vernon-St-64772/home/79942556,37.8455696,-94.35067240000001
2,Single Family Residential,14857 E Quarter Master Rd,Nevada,MO,64772,134900,2.0,2.0,1224.0,,1998.0,,http://www.redfin.com/MO/Nevada/14857-E-Quarter-Master-Rd-64772/home/79949561,37.79609779999999,-94.36908290000001
3,Single Family Residential,17140 S 1269 Rd,Nevada,MO,64772,197900,3.0,2.0,1871.0,65340.0,1996.0,50.0,http://www.redfin.com/MO/Nevada/Unknown-64772/home/79941986,37.834965000000004,-94.40776600000001
4,Single Family Residential,1507 W Allison St,Nevada,MO,64772,91500,3.0,2.0,1638.0,,,,http://www.redfin.com/MO/Nevada/1507-W-Allison-St-64772/home/79946071,37.8417112,-94.3766888
5,Single Family Residential,1327 W Maple St,Nevada,MO,64772,81000,3.0,1.0,2170.0,32670.0,,,http://www.redfin.com/MO/Nevada/1327-W-Maple-St-64772/home/79949002,37.8343456,-94.3734713
6,Single Family Residential,823 N Washington St,Nevada,MO,64772,260000,5.0,2.5,5400.0,41382.0,1890.0,,http://www.redfin.com/MO/Nevada/823-N-Washington-St-64772/home/79942831,37.84575220000001,-94.35493879999999
7,Single Family Residential,501 N Tower St,Nevada,MO,64772,32500,2.0,2.0,1292.0,14374.0,1905.0,,http://www.redfin.com/MO/Nevada/501-N-Tower-St-64772/home/79948411,37.8428792,-94.3729232
8,Vacant Land,25670 S 1425 Rd,Nevada,MO,64772,285000,,,,5183640.0,,,http://www.redfin.com/MO/Nevada/25670-S-1425-Rd-64772/home/79947033,37.795062,-94.380347
9,Single Family Residential,16222 E Panama Rd,Nevada,MO,64772,256900,4.0,3.0,2608.0,130680.0,2015.0,,http://www.redfin.com/MO/Nevada/16222-E-Panama-Rd-64772/home/109462661,37.821329999999996,-94.3426542
10,Single Family Residential,419 W Cherry St,Nevada,MO,64772,81500,2.0,1.0,1224.0,,1880.0,,http://www.redfin.com/MO/Nevada/419-W-Cherry-St-64772/home/79943582,37.8380963,-94.3614308
11,Single Family Residential,931 N Commercial St,Nevada,MO,64772,126500,2.0,1.0,1134.0,,2020.0,,http://www.redfin.com/MO/Nevada/931-N-Commercial-St-64772/home/79941997,37.846794200000005,-94.3497385
12,Single Family Residential,921 Commercial St,Nevada,MO,64772,126500,2.0,1.0,1134.0,,2020.0,,http://www.redfin.com/MO/Nevada/921-N-Commercial-St-64772/home/172501590,37.846669299999995,-94.3498118
13,Single Family Residential,20742 S 1600 Rd,Nevada,MO,64772,262500,2.0,1.5,2436.0,1550736.0,1975.0,,http://www.redfin.com/MO/Nevada/20742-S-1600-Rd-64772/home/79937185,37.7822479,-94.348692
14,Single Family Residential,19205 E Overland Rd,Nevada,MO,64772,248900,3.0,2.0,1485.0,914760.0,2017.0,,http://www.redfin.com/MO/Nevada/19205-E-Overland-Rd-64772/home/79946453,37.82920120000001,-94.2863951
